icd10;entity_level_10;entity_level_11;entity_level_12;entity_level_13;entity_level_20;entity_level_30
c79;980;990;970;;;420
c790;980;990;970;;;420
c791;980;990;970;;;420
c792;980;990;970;;;420
c793;980;990;970;;;420
c794;980;990;970;;;420
c795;980;990;970;;;420
c796;980;990;970;;;420
c797;980;990;970;;;420
c798;980;990;970;;;420
c799;980;990;970;;;420
c80;980;990;970;;;420
c800;980;990;970;;;420
c809;980;990;970;;;420
c81;980;990;970;430;;370
c810;980;990;970;430;;370
c811;980;990;970;430;;370
c812;980;990;970;430;;370
c813;980;990;970;430;;370
c814;980;990;970;430;;370
c817;980;990;970;430;;370
c819;980;990;970;430;;370
c82;980;990;970;430;;360
c820;980;990;970;430;;360
c821;980;990;970;430;;360
c822;980;990;970;430;;360
c823;980;990;970;430;;360
c824;980;990;970;430;;360
c825;980;990;970;430;;360
c826;980;990;970;430;;360
c827;980;990;970;430;;360
c829;980;990;970;430;;360
c83;980;990;970;430;;360
c830;980;990;970;430;;360
c831;980;990;970;430;;360
c832;980;990;970;430;;360
c833;980;990;970;430;;360
c834;980;990;970;430;;360
c835;980;990;970;430;;360
c836;980;990;970;430;;360
c837;980;990;970;430;;360
c838;980;990;970;430;;360
c839;980;990;970;430;;360
c84;980;990;970;430;;360
c840;980;990;970;430;;360
c841;980;990;970;430;;360
c844;980;990;970;430;;360
c845;980;990;970;430;;360
c846;980;990;970;430;;360
c847;980;990;970;430;;360
c848;980;990;970;430;;360
c849;980;990;970;430;;360
c85;980;990;970;430;;360
c850;980;990;970;430;;360
c851;980;990;970;430;;360
c852;980;990;970;430;;360
c857;980;990;970;430;;360
c859;980;990;970;430;;360
c86;980;990;970;430;;360
c860;980;990;970;430;;360
c861;980;990;970;430;;360
c862;980;990;970;430;;360
c863;980;990;970;430;;360
c864;980;990;970;430;;360
c865;980;990;970;430;;360
c866;980;990;970;430;;360
c88;980;990;970;430;;394
c880;980;990;970;430;;394
c881;980;990;970;430;;394
c882;980;990;970;430;;394
c883;980;990;970;430;;394
c884;980;990;970;430;;394
c887;980;990;970;430;;394
c889;980;990;970;430;;394
c90;980;990;970;430;;380
c900;980;990;970;430;;380
c901;980;990;970;430;;380
c902;980;990;970;430;;380
c903;980;990;970;430;;380
c91;980;990;970;430;400;403
c910;980;990;970;430;400;401
c911;980;990;970;430;400;402
c912;980;990;970;430;400;403
c913;980;990;970;430;400;403
c914;980;990;970;430;400;403
c915;980;990;970;430;400;403
c916;980;990;970;430;400;403
